test,status,details,localid,pos,closed,id,znumber
Detección de Z duplicados (reinicio de contador),[PASS],No hay Z duplicados detectados,,,,,
Cierre existe en geocom,[PASS],Encontrados 1 registros,103,2,20260205,,
Datos de ventas existen en geocom,[PASS],Encontrados 219 tickets,103,2,20260205,,
Datos de medios pago existen en geocom,[PASS],Encontrados 235 pagos,103,2,20260205,,
Cierre NO existe en DW (validación de faltante),[PASS],Encontrados 0 registros en DW (esperaba 0),,,,2602050817571032,
Detalle del cierre NO existe en DW,[PASS],Encontrados 0 registros en detalle (esperaba 0),103,2,20260205,,
Consistencia de datos (cabecera-detalle),[PASS],Cabecera y detalle: ambos vacíos (correcto),,,,2602050817571032,
Integridad de TODAS las tablas de cierre,[PASS],"Cabecera no existe, ningún dato huérfano detectado",103,2,,,3167.0
Cierre existe en geocom,[PASS],Encontrados 1 registros,103,2,20260204,,
Datos de ventas existen en geocom,[WARNING],Encontrados 0 tickets,103,2,20260204,,
Datos de medios pago existen en geocom,[WARNING],Encontrados 0 pagos,103,2,20260204,,
Cierre NO existe en DW (validación de faltante),[PASS],Encontrados 0 registros en DW (esperaba 0),,,,2602041954281032,
Detalle del cierre NO existe en DW,[PASS],Encontrados 0 registros en detalle (esperaba 0),103,2,20260204,,
Consistencia de datos (cabecera-detalle),[PASS],Cabecera y detalle: ambos vacíos (correcto),,,,2602041954281032,
Integridad de TODAS las tablas de cierre,[PASS],"Cabecera no existe, ningún dato huérfano detectado",103,2,,,3166.0
Cierre existe en geocom,[PASS],Encontrados 1 registros,106,1,20260121,,
Datos de ventas existen en geocom,[PASS],Encontrados 57 tickets,106,1,20260121,,
Datos de medios pago existen en geocom,[PASS],Encontrados 45 pagos,106,1,20260121,,
Cierre NO existe en DW (validación de faltante),[PASS],Encontrados 0 registros en DW (esperaba 0),,,,2601211734311061,
Detalle del cierre NO existe en DW,[PASS],Encontrados 0 registros en detalle (esperaba 0),106,1,20260121,,
Consistencia de datos (cabecera-detalle),[PASS],Cabecera y detalle: ambos vacíos (correcto),,,,2601211734311061,
Integridad de TODAS las tablas de cierre,[PASS],"Cabecera no existe, ningún dato huérfano detectado",106,1,,,423.0
Cierre existe en geocom,[PASS],Encontrados 1 registros,108,1,20260121,,
Datos de ventas existen en geocom,[PASS],Encontrados 224 tickets,108,1,20260121,,
Datos de medios pago existen en geocom,[PASS],Encontrados 232 pagos,108,1,20260121,,
Cierre NO existe en DW (validación de faltante),[PASS],Encontrados 0 registros en DW (esperaba 0),,,,2601211541331081,
Detalle del cierre NO existe en DW,[PASS],Encontrados 0 registros en detalle (esperaba 0),108,1,20260121,,
Consistencia de datos (cabecera-detalle),[PASS],Cabecera y detalle: ambos vacíos (correcto),,,,2601211541331081,
Integridad de TODAS las tablas de cierre,[PASS],"Cabecera no existe, ningún dato huérfano detectado",108,1,,,771.0
Cierre existe en geocom,[PASS],Encontrados 1 registros,109,1,20260121,,
Datos de ventas existen en geocom,[PASS],Encontrados 116 tickets,109,1,20260121,,
Datos de medios pago existen en geocom,[PASS],Encontrados 116 pagos,109,1,20260121,,
Cierre NO existe en DW (validación de faltante),[PASS],Encontrados 0 registros en DW (esperaba 0),,,,2601211506291091,
Detalle del cierre NO existe en DW,[PASS],Encontrados 0 registros en detalle (esperaba 0),109,1,20260121,,
Consistencia de datos (cabecera-detalle),[PASS],Cabecera y detalle: ambos vacíos (correcto),,,,2601211506291091,
Integridad de TODAS las tablas de cierre,[PASS],"Cabecera no existe, ningún dato huérfano detectado",109,1,,,1548.0
Cierre existe en geocom,[PASS],Encontrados 1 registros,114,1,20260121,,
Datos de ventas existen en geocom,[PASS],Encontrados 641 tickets,114,1,20260121,,
Datos de medios pago existen en geocom,[PASS],Encontrados 678 pagos,114,1,20260121,,
